time,boundary
201811081500,"POLYGON ((-121.442 39.8, -121.442 39.8001, -121.45 39.8001, -121.471 39.8002, -121.477 39.8002, -121.483 39.8018, -121.495 39.8047, -121.501 39.8073, -121.506 39.8092, -121.516 39.8204, -121.53 39.8362, -121.533 39.8385, -121.535 39.8407, -121.535 39.8452, -121.535 39.8497, -121.535 39.8587, -121.527 39.862, -121.524 39.8632, -121.512 39.8587, -121.512 39.8587, -121.512 39.8587, -121.512 39.8587, -121.501 39.8587, -121.483 39.8587, -121.477 39.8587, -121.459 39.8541, -121.454 39.852, -121.448 39.8496, -121.424 39.8226, -121.419 39.8181, -121.419 39.8091, -121.419 39.8046, -121.419 39.8001, -121.43 39.7956, -121.442 39.8))"
201811081600,"POLYGON ((-121.454 39.7461, -121.46 39.7461, -121.466 39.7462, -121.501 39.7462, -121.512 39.7507, -121.547 39.7508, -121.565 39.7553, -121.588 39.7553, -121.594 39.7553, -121.612 39.7598, -121.635 39.7598, -121.641 39.7598, -121.647 39.7598, -121.658 39.7643, -121.664 39.7688, -121.664 39.7733, -121.664 39.7778, -121.664 39.7823, -121.688 39.8228, -121.688 39.8273, -121.688 39.8318, -121.682 39.8453, -121.67 39.8678, -121.664 39.8723, -121.658 39.8723, -121.652 39.8723, -121.611 39.8903, -121.606 39.8948, -121.6 39.8948, -121.594 39.8948, -121.565 39.8903, -121.559 39.8903, -121.553 39.8903, -121.547 39.8902, -121.512 39.8902, -121.5 39.8857, -121.483 39.8812, -121.459 39.8541, -121.448 39.8496, -121.424 39.8226, -121.419 39.8181, -121.389 39.791, -121.384 39.7865, -121.39 39.7685, -121.395 39.7685, -121.401 39.7685, -121.407 39.7685, -121.448 39.7461, -121.454 39.7461))"
201811081800,"POLYGON ((-121.67 39.7373, -121.682 39.7418, -121.682 39.7463, -121.682 39.7508, -121.676 39.7598, -121.664 39.7868, -121.652 39.8093, -121.641 39.8363, -121.629 39.8543, -121.623 39.8678, -121.617 39.8678, -121.611 39.8678, -121.606 39.8678, -121.571 39.8678, -121.559 39.8633, -121.524 39.8632, -121.512 39.8587, -121.483 39.8587, -121.477 39.8587, -121.459 39.8541, -121.448 39.8496, -121.424 39.8226, -121.419 39.8181, -121.419 39.8136, -121.419 39.8091, -121.419 39.8046, -121.419 39.8001, -121.43 39.7776, -121.448 39.7461, -121.454 39.7461, -121.46 39.7461, -121.466 39.7462, -121.506 39.7237, -121.512 39.7237, -121.518 39.7237, -121.524 39.7237, -121.559 39.7238, -121.577 39.7283, -121.606 39.7283, -121.623 39.7328, -121.647 39.7328, -121.652 39.7328, -121.67 39.7373))"
201811081900,"POLYGON ((-121.524 39.6967, -121.53 39.6967, -121.536 39.6967, -121.553 39.7013, -121.565 39.7013, -121.571 39.7013, -121.577 39.7013, -121.582 39.7013, -121.617 39.7013, -121.635 39.7058, -121.647 39.7103, -121.67 39.7373, -121.682 39.7418, -121.682 39.7463, -121.682 39.7508, -121.676 39.7598, -121.664 39.7868, -121.652 39.8093, -121.641 39.8363, -121.629 39.8543, -121.623 39.8678, -121.617 39.8678, -121.611 39.8678, -121.606 39.8678, -121.571 39.8678, -121.559 39.8633, -121.524 39.8632, -121.512 39.8587, -121.483 39.8587, -121.477 39.8587, -121.459 39.8541, -121.448 39.8496, -121.424 39.8226, -121.419 39.8181, -121.419 39.8136, -121.419 39.8091, -121.419 39.8046, -121.419 39.8001, -121.43 39.7776, -121.448 39.7461, -121.454 39.7461, -121.46 39.7461, -121.466 39.7462, -121.506 39.7237, -121.518 39.7012, -121.524 39.6967))"
201811082000,"POLYGON ((-121.664 39.7058, -121.682 39.7103, -121.693 39.7148, -121.693 39.7193, -121.693 39.7238, -121.693 39.7283, -121.693 39.7328, -121.682 39.7508, -121.676 39.7598, -121.664 39.7868, -121.652 39.8093, -121.641 39.8363, -121.635 39.8408, -121.629 39.8408, -121.623 39.8408, -121.582 39.8588, -121.576 39.8633, -121.571 39.8678, -121.559 39.8633, -121.524 39.8632, -121.512 39.8587, -121.483 39.8587, -121.477 39.8587, -121.459 39.8541, -121.448 39.8496, -121.424 39.8226, -121.419 39.8181, -121.419 39.8001, -121.43 39.7776, -121.448 39.7461, -121.46 39.7236, -121.466 39.7192, -121.471 39.7192, -121.477 39.7192, -121.518 39.7012, -121.524 39.6967, -121.53 39.6967, -121.536 39.6967, -121.553 39.7013, -121.565 39.7013, -121.571 39.7013, -121.577 39.7013, -121.582 39.7013, -121.617 39.7013, -121.635 39.7058, -121.664 39.7058))"
201811082100,"POLYGON ((-121.582 39.6743, -121.588 39.6743, -121.594 39.6743, -121.612 39.6788, -121.623 39.6788, -121.629 39.6788, -121.635 39.6788, -121.641 39.6788, -121.647 39.6788, -121.658 39.6833, -121.664 39.6878, -121.693 39.7148, -121.717 39.7418, -121.728 39.7463, -121.723 39.7643, -121.711 39.7868, -121.705 39.7913, -121.699 39.7913, -121.693 39.7913, -121.652 39.8093, -121.641 39.8363, -121.635 39.8408, -121.629 39.8408, -121.623 39.8408, -121.582 39.8588, -121.576 39.8633, -121.571 39.8678, -121.559 39.8633, -121.524 39.8632, -121.512 39.8587, -121.495 39.8542, -121.448 39.8271, -121.442 39.8271, -121.424 39.8226, -121.419 39.8181, -121.419 39.8001, -121.442 39.7641, -121.448 39.7461, -121.46 39.7236, -121.466 39.7192, -121.471 39.7192, -121.477 39.7192, -121.518 39.7012, -121.524 39.6967, -121.53 39.6967, -121.536 39.6967, -121.577 39.6788, -121.582 39.6743))"
201811082200,"POLYGON ((-121.448 39.7463, -121.448 39.7461, -121.448 39.7461, -121.46 39.7236, -121.472 39.6967, -121.477 39.6922, -121.483 39.6922, -121.489 39.6922, -121.507 39.6967, -121.524 39.6967, -121.53 39.6967, -121.536 39.6967, -121.577 39.6788, -121.582 39.6743, -121.588 39.6743, -121.594 39.6743, -121.612 39.6788, -121.623 39.6788, -121.629 39.6788, -121.635 39.6788, -121.641 39.6788, -121.647 39.6788, -121.658 39.6833, -121.664 39.6878, -121.693 39.7148, -121.693 39.7193, -121.693 39.7238, -121.693 39.7328, -121.682 39.7508, -121.676 39.7598, -121.664 39.7868, -121.652 39.8093, -121.641 39.8363, -121.635 39.8408, -121.629 39.8408, -121.623 39.8408, -121.582 39.8588, -121.576 39.8633, -121.571 39.8678, -121.559 39.8633, -121.524 39.8632, -121.512 39.8587, -121.495 39.8542, -121.448 39.8271, -121.442 39.8271, -121.424 39.8226, -121.419 39.8181, -121.419 39.8136, -121.419 39.8091, -121.419 39.8046, -121.419 39.8001, -121.442 39.7641, -121.448 39.7463))"
201811082300,"POLYGON ((-121.483 39.8587, -121.483 39.8587, -121.477 39.8587, -121.459 39.8541, -121.454 39.852, -121.448 39.8496, -121.438 39.8387, -121.424 39.8226, -121.421 39.8202, -121.419 39.8181, -121.419 39.8001, -121.43 39.7956, -121.477 39.7777, -121.489 39.7552, -121.506 39.7237, -121.518 39.7012, -121.524 39.6967, -121.53 39.6967, -121.536 39.6967, -121.577 39.6788, -121.582 39.6743, -121.588 39.6743, -121.594 39.6743, -121.612 39.6788, -121.623 39.6788, -121.629 39.6788, -121.635 39.6788, -121.641 39.6788, -121.647 39.6788, -121.658 39.6833, -121.664 39.6878, -121.693 39.7148, -121.717 39.7418, -121.728 39.7463, -121.723 39.7643, -121.717 39.7688, -121.711 39.7688, -121.664 39.7868, -121.652 39.8093, -121.641 39.8363, -121.635 39.8408, -121.629 39.8408, -121.623 39.8408, -121.582 39.8588, -121.576 39.8633, -121.571 39.8678, -121.559 39.8633, -121.524 39.8632, -121.512 39.8587, -121.483 39.8587))"
201811090000,"POLYGON ((-121.477 39.7192, -121.477 39.7192, -121.518 39.7012, -121.527 39.6816, -121.53 39.6742, -121.536 39.6697, -121.542 39.6698, -121.547 39.6698, -121.565 39.6743, -121.582 39.6743, -121.588 39.6743, -121.594 39.6743, -121.612 39.6788, -121.623 39.6788, -121.629 39.6788, -121.635 39.6788, -121.641 39.6788, -121.647 39.6788, -121.676 39.6788, -121.693 39.6833, -121.705 39.6878, -121.728 39.7148, -121.74 39.7193, -121.74 39.7238, -121.74 39.7328, -121.723 39.7643, -121.717 39.7688, -121.711 39.7688, -121.664 39.7868, -121.652 39.8093, -121.641 39.8362, -121.641 39.8363, -121.64 39.8367, -121.635 39.8408, -121.629 39.8408, -121.623 39.8408, -121.582 39.8588, -121.576 39.8633, -121.571 39.8678, -121.571 39.8678, -121.559 39.8633, -121.559 39.8633, -121.559 39.8633, -121.538 39.8632, -121.524 39.8632, -121.512 39.8587, -121.512 39.8587, -121.512 39.8587, -121.512 39.8587, -121.501 39.8587, -121.483 39.8587, -121.477 39.8587, -121.459 39.8541, -121.454 39.852, -121.448 39.8496, -121.438 39.8387, -121.424 39.8226, -121.421 39.8202, -121.419 39.8181, -121.419 39.8136, -121.419 39.8091, -121.419 39.8046, -121.419 39.8001, -121.43 39.7956, -121.46 39.7416, -121.46 39.7371, -121.46 39.7326, -121.46 39.7281, -121.46 39.7236, -121.466 39.7192, -121.471 39.7192, -121.477 39.7192, -121.477 39.7192))"
201811090100,"POLYGON ((-121.594 39.6473, -121.606 39.6473, -121.614 39.6494, -121.623 39.6518, -121.623 39.6518, -121.623 39.6518, -121.641 39.6518, -121.647 39.6518, -121.652 39.6518, -121.667 39.6555, -121.67 39.6563, -121.676 39.6608, -121.705 39.6878, -121.709 39.6919, -121.728 39.7148, -121.74 39.7193, -121.74 39.7238, -121.74 39.7283, -121.74 39.7328, -121.723 39.7643, -121.711 39.7868, -121.706 39.7991, -121.699 39.8138, -121.693 39.8183, -121.687 39.8183, -121.682 39.8183, -121.676 39.8183, -121.641 39.8183, -121.607 39.8418, -121.582 39.8588, -121.576 39.8633, -121.574 39.8651, -121.571 39.8677, -121.559 39.8633, -121.559 39.8633, -121.559 39.8633, -121.538 39.8632, -121.524 39.8632, -121.512 39.8587, -121.512 39.8587, -121.512 39.8587, -121.512 39.8587, -121.501 39.8587, -121.483 39.8587, -121.477 39.8587, -121.459 39.8541, -121.454 39.852, -121.448 39.8496, -121.438 39.8387, -121.424 39.8226, -121.421 39.8202, -121.419 39.8181, -121.419 39.8136, -121.419 39.8091, -121.419 39.8046, -121.419 39.8001, -121.425 39.7975, -121.43 39.7956, -121.477 39.7777, -121.489 39.7552, -121.506 39.7237, -121.518 39.7012, -121.53 39.6742, -121.53 39.6742, -121.53 39.6742, -121.536 39.6697, -121.539 39.6698, -121.542 39.6698, -121.547 39.6698, -121.547 39.6698, -121.547 39.6698, -121.588 39.6518, -121.594 39.6473))"
