time,boundary
201811080100,"POLYGON ((-122.501 40.3633, -122.501 40.3642, -122.501 40.3687, -122.501 40.3732, -122.501 40.3777, -122.495 40.3777, -122.489 40.3777, -122.489 40.3732, -122.489 40.3687, -122.489 40.3642, -122.489 40.3597, -122.501 40.3335, -122.501 40.3372, -122.501 40.3417, -122.501 40.3462, -122.501 40.3507, -122.501 40.3552, -122.501 40.3597, -122.501 40.3633))"
201811081500,"POLYGON ((-121.419 39.8001, -121.43 39.7956, -121.477 39.8002, -121.495 39.8047, -121.506 39.8092, -121.535 39.8407, -121.535 39.8452, -121.535 39.8497, -121.535 39.8542, -121.535 39.8587, -121.524 39.8632, -121.477 39.8587, -121.459 39.8541, -121.448 39.8496, -121.419 39.8181, -121.419 39.8136, -121.419 39.8091, -121.419 39.8046, -121.419 39.8001))"
201811081500,"POLYGON ((-121.43 39.7956, -121.477 39.8002, -121.495 39.8047, -121.506 39.8092, -121.535 39.8407, -121.535 39.8452, -121.535 39.8497, -121.535 39.8587, -121.524 39.8632, -121.477 39.8587, -121.459 39.8541, -121.448 39.8496, -121.419 39.8181, -121.419 39.8091, -121.419 39.8046, -121.419 39.8001, -121.43 39.7956))"
201811081600,"POLYGON ((-121.682 39.6563, -121.687 39.6563, -121.693 39.6563, -121.699 39.6563, -121.705 39.6563, -121.717 39.6608, -121.722 39.6653, -121.752 39.6923, -121.769 39.7507, -121.769 39.7552, -121.769 39.7597, -121.769 39.7642, -121.769 39.7687, -121.758 39.7912, -121.746 39.8138, -121.728 39.8453, -121.723 39.8498, -121.664 39.8723, -121.606 39.8948, -121.6 39.8948, -121.594 39.8948, -121.512 39.8902, -121.483 39.8812, -121.448 39.8496, -121.384 39.7865, -121.39 39.7685, -121.448 39.7461, -121.623 39.6788, -121.682 39.6563))"
201811081600,"POLYGON ((-121.664 39.8723, -121.606 39.8948, -121.6 39.8948, -121.594 39.8948, -121.512 39.8902, -121.483 39.8812, -121.448 39.8496, -121.384 39.7865, -121.39 39.7685, -121.448 39.7461, -121.454 39.7461, -121.46 39.7461, -121.466 39.7462, -121.501 39.7462, -121.547 39.7508, -121.594 39.7553, -121.647 39.7598, -121.658 39.7643, -121.664 39.7688, -121.688 39.8228, -121.688 39.8273, -121.688 39.8318, -121.682 39.8453, -121.67 39.8678, -121.664 39.8723))"
201811081800,"POLYGON ((-122.491 39.5633, -122.491 39.5678, -122.486 39.5813, -122.376 39.7035, -122.37 39.7081, -122.365 39.7126, -122.306 39.7354, -122.289 39.731, -122.277 39.7266, -121.623 39.8678, -121.617 39.8678, -121.611 39.8678, -121.606 39.8678, -121.571 39.8678, -121.524 39.8632, -121.477 39.8587, -121.459 39.8541, -121.448 39.8496, -121.419 39.8181, -121.419 39.8136, -121.419 39.8091, -121.419 39.8046, -121.419 39.8001, -121.43 39.7776, -121.448 39.7461, -121.506 39.7237, -121.512 39.7237, -121.518 39.7237, -121.524 39.7237, -121.559 39.7238, -121.606 39.7283, -121.652 39.7328, -121.67 39.7373, -121.682 39.7418, -122.322 39.5194, -122.362 39.4426, -122.368 39.4381, -122.373 39.438, -122.379 39.438, -122.385 39.438, -122.397 39.4424, -122.403 39.4469, -122.438 39.4781, -122.473 39.5049, -122.491 39.5633))"
201811081800,"POLYGON ((-121.682 39.7418, -121.682 39.7463, -121.682 39.7508, -121.664 39.7868, -121.641 39.8363, -121.623 39.8678, -121.617 39.8678, -121.611 39.8678, -121.606 39.8678, -121.571 39.8678, -121.524 39.8632, -121.477 39.8587, -121.459 39.8541, -121.448 39.8496, -121.419 39.8181, -121.419 39.8001, -121.43 39.7776, -121.448 39.7461, -121.506 39.7237, -121.512 39.7237, -121.518 39.7237, -121.524 39.7237, -121.559 39.7238, -121.606 39.7283, -121.652 39.7328, -121.67 39.7373, -121.682 39.7418))"
201811081900,"POLYGON ((-121.518 39.7012, -121.524 39.6967, -121.53 39.6967, -121.536 39.6967, -121.617 39.7013, -121.635 39.7058, -121.647 39.7103, -121.682 39.7418, -121.682 39.7463, -121.682 39.7508, -121.664 39.7868, -121.641 39.8363, -121.623 39.8678, -121.617 39.8678, -121.611 39.8678, -121.606 39.8678, -121.571 39.8678, -121.524 39.8632, -121.477 39.8587, -121.459 39.8541, -121.448 39.8496, -121.419 39.8181, -121.419 39.8136, -121.419 39.8091, -121.419 39.8046, -121.419 39.8001, -121.43 39.7776, -121.448 39.7461, -121.518 39.7012))"
201811081900,"POLYGON ((-121.524 39.6967, -121.53 39.6967, -121.536 39.6967, -121.617 39.7013, -121.635 39.7058, -121.647 39.7103, -121.682 39.7418, -121.682 39.7463, -121.682 39.7508, -121.664 39.7868, -121.641 39.8363, -121.623 39.8678, -121.617 39.8678, -121.611 39.8678, -121.606 39.8678, -121.571 39.8678, -121.524 39.8632, -121.477 39.8587, -121.459 39.8541, -121.448 39.8496, -121.419 39.8181, -121.419 39.8136, -121.419 39.8091, -121.419 39.8046, -121.419 39.8001, -121.43 39.7776, -121.448 39.7461, -121.518 39.7012, -121.524 39.6967))"
201811082000,"POLYGON ((-121.524 39.6967, -121.53 39.6967, -121.536 39.6967, -121.617 39.7013, -121.664 39.7058, -121.682 39.7103, -121.693 39.7148, -121.693 39.7193, -121.693 39.7238, -121.693 39.7283, -121.693 39.7328, -121.664 39.7868, -121.641 39.8363, -121.635 39.8408, -121.571 39.8678, -121.524 39.8632, -121.477 39.8587, -121.459 39.8541, -121.448 39.8496, -121.419 39.8181, -121.419 39.8136, -121.419 39.8091, -121.419 39.8046, -121.419 39.8001, -121.43 39.7776, -121.448 39.7461, -121.46 39.7236, -121.466 39.7192, -121.524 39.6967))"
201811082000,"POLYGON ((-121.682 39.7103, -121.693 39.7148, -121.693 39.7193, -121.693 39.7238, -121.693 39.7283, -121.693 39.7328, -121.664 39.7868, -121.641 39.8363, -121.635 39.8408, -121.571 39.8678, -121.524 39.8632, -121.477 39.8587, -121.459 39.8541, -121.448 39.8496, -121.419 39.8181, -121.419 39.8001, -121.43 39.7776, -121.448 39.7461, -121.46 39.7236, -121.466 39.7192, -121.524 39.6967, -121.53 39.6967, -121.536 39.6967, -121.617 39.7013, -121.664 39.7058, -121.682 39.7103))"
